time,open,high,low,close,tick_volume,spread,real_volume
2024-05-16 20:00:00,1.08735,1.08757,1.08647,1.0867,5878,0,0
2024-05-17 00:00:00,1.08663,1.08693,1.08599,1.0863,3967,0,0
2024-05-17 04:00:00,1.0863,1.08638,1.08544,1.08561,6427,0,0
2024-05-17 08:00:00,1.08561,1.08684,1.08417,1.08444,9503,0,0
2024-05-17 12:00:00,1.08444,1.08469,1.08357,1.0843099999999999,8521,0,0
2024-05-17 16:00:00,1.0843,1.08786,1.0843,1.08687,11301,0,0
2024-05-17 20:00:00,1.08687,1.08768,1.08683,1.0869,4848,0,0
2024-05-20 00:00:00,1.08663,1.08774,1.08626,1.08752,3646,0,0
2024-05-20 04:00:00,1.08752,1.08825,1.08716,1.08809,5992,0,0
2024-05-20 08:00:00,1.08809,1.08846,1.08695,1.08747,8667,0,0
2024-05-20 12:00:00,1.08747,1.08751,1.08544,1.08576,9825,0,0
2024-05-20 16:00:00,1.08576,1.087,1.08576,1.08659,10255,0,0
2024-05-20 20:00:00,1.08659,1.08708,1.08567,1.08568,5652,0,0
2024-05-21 00:00:00,1.08566,1.0862,1.08547,1.08615,3176,0,0
2024-05-21 04:00:00,1.08615,1.08615,1.08511,1.08589,6589,0,0
2024-05-21 08:00:00,1.08589,1.08696,1.08567,1.08668,9140,0,0
2024-05-21 12:00:00,1.08668,1.08749,1.08549,1.08571,9260,0,0
2024-05-21 16:00:00,1.08571,1.08619,1.08427,1.0854,15145,0,0
2024-05-21 20:00:00,1.0854,1.08566,1.08465,1.08538,5129,0,0
2024-05-22 00:00:00,1.08535,1.086,1.08513,1.08576,3756,0,0
2024-05-22 04:00:00,1.08576,1.08637,1.08529,1.08535,7041,0,0
2024-05-22 08:00:00,1.08535,1.08636,1.08463,1.08487,8928,0,0
2024-05-22 12:00:00,1.08487,1.085,1.08221,1.0832,10898,0,0
2024-05-22 16:00:00,1.08321,1.08444,1.08318,1.08426,12031,0,0
2024-05-22 20:00:00,1.08425,1.08471,1.08176,1.08218,9979,0,0
2024-05-23 00:00:00,1.08224,1.08289,1.08202,1.08257,4281,0,0
2024-05-23 04:00:00,1.08257,1.08324,1.0822,1.08267,6524,0,0
2024-05-23 08:00:00,1.08268,1.08449,1.08125,1.0838700000000001,12754,0,0
2024-05-23 12:00:00,1.0838700000000001,1.08544,1.08337,1.08528,12660,0,0
2024-05-23 16:00:00,1.08528,1.08611,1.08181,1.08184,20391,0,0
2024-05-23 20:00:00,1.08184,1.08202,1.08049,1.08156,9485,0,0
2024-05-24 00:00:00,1.08146,1.08151,1.08076,1.08103,4361,0,0
2024-05-24 04:00:00,1.08103,1.0814,1.08057,1.08093,6979,0,0
2024-05-24 08:00:00,1.08093,1.08284,1.08076,1.0824799999999999,10203,0,0
2024-05-24 12:00:00,1.0824799999999999,1.08539,1.08238,1.08513,11465,0,0
2024-05-24 16:00:00,1.08513,1.08579,1.08421,1.08471,13729,0,0
2024-05-24 20:00:00,1.08471,1.08535,1.08459,1.08461,5512,0,0
2024-05-27 00:00:00,1.08457,1.08513,1.0843099999999999,1.08487,3062,0,0
2024-05-27 04:00:00,1.08487,1.08521,1.08473,1.08486,4147,0,0
2024-05-27 08:00:00,1.08486,1.08535,1.08443,1.08494,6658,0,0
2024-05-27 12:00:00,1.08494,1.08674,1.08407,1.0849199999999999,9630,0,0
2024-05-27 16:00:00,1.0849199999999999,1.0862,1.08445,1.08599,7470,0,0
2024-05-27 20:00:00,1.08599,1.08609,1.08557,1.08566,1556,0,0
2024-05-28 00:00:00,1.08569,1.08684,1.08505,1.08651,6040,0,0
2024-05-28 04:00:00,1.08651,1.08802,1.08643,1.08761,6921,0,0
2024-05-28 08:00:00,1.08761,1.08802,1.08671,1.08702,9422,0,0
2024-05-28 12:00:00,1.08702,1.08891,1.08674,1.08767,10034,0,0
2024-05-28 16:00:00,1.08767,1.08803,1.08579,1.08749,14076,0,0
2024-05-28 20:00:00,1.08749,1.08759,1.08552,1.08564,8698,0,0
2024-05-29 00:00:00,1.08564,1.08595,1.08479,1.08513,5087,0,0
2024-05-29 04:00:00,1.08513,1.08571,1.08441,1.08478,6244,0,0
2024-05-29 08:00:00,1.08478,1.08589,1.08293,1.08372,11533,0,0
2024-05-29 12:00:00,1.08372,1.08587,1.08356,1.08463,12325,0,0
2024-05-29 16:00:00,1.08463,1.0847,1.08076,1.08156,16363,0,0
2024-05-29 20:00:00,1.08156,1.08161,1.07999,1.08006,8037,0,0
2024-05-30 00:00:00,1.08007,1.08044,1.07954,1.07965,4291,0,0
2024-05-30 04:00:00,1.07965,1.08046,1.07921,1.07961,7211,0,0
2024-05-30 08:00:00,1.07961,1.0818699999999999,1.07884,1.0815,12691,0,0
2024-05-30 12:00:00,1.0815,1.08329,1.08085,1.08292,12712,0,0
2024-05-30 16:00:00,1.08292,1.08452,1.08255,1.08402,15257,0,0
2024-05-30 20:00:00,1.08401,1.08433,1.0827,1.08321,7851,0,0
2024-05-31 00:00:00,1.08315,1.08341,1.08268,1.08322,4947,0,0
2024-05-31 04:00:00,1.08322,1.08337,1.08113,1.08184,8385,0,0
2024-05-31 08:00:00,1.08184,1.08388,1.08147,1.08344,11596,0,0
2024-05-31 12:00:00,1.08344,1.08824,1.08343,1.08803,14652,0,0
2024-05-31 16:00:00,1.08803,1.08809,1.08398,1.08475,19295,0,0
2024-05-31 20:00:00,1.08475,1.08529,1.08406,1.08485,7865,0,0
2024-06-03 00:00:00,1.08463,1.08576,1.08422,1.08565,5407,0,0
2024-06-03 04:00:00,1.08564,1.08589,1.08493,1.0852,7334,0,0
2024-06-03 08:00:00,1.0852,1.08588,1.08335,1.08401,13036,0,0
2024-06-03 12:00:00,1.08401,1.085,1.08279,1.08444,12911,0,0
2024-06-03 16:00:00,1.08444,1.08906,1.08444,1.08853,17709,0,0
2024-06-03 20:00:00,1.08853,1.09046,1.08814,1.09041,9453,0,0
2024-06-04 00:00:00,1.09038,1.09162,1.08997,1.0913,4928,0,0
2024-06-04 04:00:00,1.0913,1.09139,1.09053,1.09094,6564,0,0
2024-06-04 08:00:00,1.09093,1.09109,1.0874,1.08809,14084,0,0
2024-06-04 12:00:00,1.08809,1.08821,1.08589,1.08647,16091,0,0
2024-06-04 16:00:00,1.08647,1.08837,1.08622,1.08803,18930,0,0
2024-06-04 20:00:00,1.08803,1.08878,1.08783,1.0879,9710,0,0
2024-06-05 00:00:00,1.0879,1.08862,1.08777,1.08844,4041,0,0
2024-06-05 04:00:00,1.08844,1.08862,1.08767,1.08807,5938,0,0
2024-06-05 08:00:00,1.08808,1.08824,1.08701,1.08759,10397,0,0
2024-06-05 12:00:00,1.08759,1.08843,1.08601,1.08841,11587,0,0
2024-06-05 16:00:00,1.0884,1.08919,1.08546,1.08645,19198,0,0
2024-06-05 20:00:00,1.08645,1.08774,1.08607,1.08691,7366,0,0
2024-06-06 00:00:00,1.08682,1.08824,1.08668,1.0882,4203,0,0
2024-06-06 04:00:00,1.0882,1.08959,1.0882,1.08873,7097,0,0
2024-06-06 08:00:00,1.08873,1.08883,1.08713,1.08775,10040,0,0
2024-06-06 12:00:00,1.08775,1.0902,1.0862,1.08817,13911,0,0
2024-06-06 16:00:00,1.08818,1.08914,1.0872,1.0882,16952,0,0
2024-06-06 20:00:00,1.0882,1.08944,1.08811,1.08893,7781,0,0
2024-06-07 00:00:00,1.08862,1.08934,1.0885,1.08896,4580,0,0
2024-06-07 04:00:00,1.08896,1.0898,1.08872,1.08955,6972,0,0
2024-06-07 08:00:00,1.08955,1.08985,1.08833,1.08891,13665,0,0
2024-06-07 12:00:00,1.08891,1.0902,1.08241,1.08333,18334,0,0
2024-06-07 16:00:00,1.08332,1.08357,1.08033,1.08054,19804,0,0
2024-06-07 20:00:00,1.08052,1.08073,1.07994,1.08019,8112,0,0
2024-06-10 00:00:00,1.0772599999999999,1.07817,1.07638,1.07781,7076,0,0
2024-06-10 04:00:00,1.07781,1.078,1.07481,1.07544,6362,0,0
2024-06-10 08:00:00,1.07544,1.07683,1.0748,1.07568,14385,0,0
2024-06-10 12:00:00,1.07568,1.07605,1.07329,1.07414,12689,0,0
2024-06-10 16:00:00,1.07414,1.07589,1.07333,1.0754299999999999,14511,0,0
2024-06-10 20:00:00,1.0754299999999999,1.07666,1.07504,1.07656,8271,0,0
2024-06-11 00:00:00,1.07645,1.07682,1.07569,1.07638,4845,0,0
2024-06-11 04:00:00,1.07637,1.07707,1.07623,1.07685,7110,0,0
2024-06-11 08:00:00,1.07685,1.07736,1.07436,1.07454,11757,0,0
2024-06-11 12:00:00,1.07454,1.07566,1.07239,1.07324,16719,0,0
2024-06-11 16:00:00,1.07324,1.0739,1.07197,1.07374,14675,0,0
2024-06-11 20:00:00,1.07374,1.07495,1.07368,1.07404,8227,0,0
2024-06-12 00:00:00,1.07402,1.07429,1.07344,1.07362,4285,0,0
2024-06-12 04:00:00,1.07362,1.07433,1.07347,1.07368,6539,0,0
2024-06-12 08:00:00,1.07368,1.07541,1.07357,1.07467,9874,0,0
2024-06-12 12:00:00,1.07467,1.08302,1.07443,1.08267,15336,0,0
2024-06-12 16:00:00,1.08267,1.08524,1.08177,1.08442,20285,0,0
2024-06-12 20:00:00,1.08442,1.08459,1.08037,1.08091,24718,0,0
2024-06-13 00:00:00,1.08085,1.08158,1.0805,1.08129,5532,0,0
2024-06-13 04:00:00,1.08129,1.0816,1.08032,1.08041,8218,0,0
2024-06-13 08:00:00,1.08041,1.08165,1.08006,1.08063,12536,0,0
2024-06-13 12:00:00,1.08063,1.08165,1.07807,1.07935,16025,0,0
2024-06-13 16:00:00,1.07939,1.08078,1.07329,1.07352,20787,0,0
2024-06-13 20:00:00,1.07352,1.0744,1.07352,1.07382,7946,0,0
2024-06-14 00:00:00,1.07367,1.0741,1.07336,1.07364,4277,0,0
2024-06-14 04:00:00,1.07364,1.0745,1.07351,1.07365,7793,0,0
2024-06-14 08:00:00,1.07365,1.07374,1.06898,1.06919,17076,0,0
2024-06-14 12:00:00,1.06919,1.07059,1.06719,1.06893,22422,0,0
2024-06-14 16:00:00,1.06893,1.07019,1.06676,1.07006,21248,0,0
2024-06-14 20:00:00,1.07006,1.07076,1.06947,1.07058,9689,0,0
2024-06-17 00:00:00,1.07035,1.07092,1.07,1.0704,5669,0,0
2024-06-17 04:00:00,1.0704,1.07055,1.0699,1.07043,9090,0,0
2024-06-17 08:00:00,1.07043,1.07124,1.06865,1.0707200000000001,18269,0,0
2024-06-17 12:00:00,1.0707200000000001,1.07179,1.07022,1.07138,16216,0,0
2024-06-17 16:00:00,1.07138,1.07279,1.07116,1.07253,15315,0,0
2024-06-17 20:00:00,1.07253,1.07379,1.07234,1.07338,7586,0,0
2024-06-18 00:00:00,1.07341,1.07411,1.07305,1.07362,4110,0,0
2024-06-18 04:00:00,1.07362,1.0737,1.07203,1.07217,6702,0,0
2024-06-18 08:00:00,1.07216,1.07353,1.0715,1.07195,13195,0,0
2024-06-18 12:00:00,1.07195,1.07341,1.07101,1.07312,14801,0,0
2024-06-18 16:00:00,1.07312,1.07615,1.07301,1.07394,18271,0,0
2024-06-18 20:00:00,1.07393,1.07434,1.07321,1.07397,8892,0,0
2024-06-19 00:00:00,1.07395,1.07413,1.07347,1.07375,3363,0,0
2024-06-19 04:00:00,1.07375,1.07425,1.07354,1.07359,6821,0,0
2024-06-19 08:00:00,1.07359,1.07419,1.07249,1.07405,14927,0,0
2024-06-19 12:00:00,1.07405,1.07535,1.07326,1.0746,13320,0,0
2024-06-19 16:00:00,1.0746,1.07509,1.07409,1.07471,6795,0,0
2024-06-19 20:00:00,1.07471,1.07474,1.07426,1.07436,1544,0,0
2024-06-20 00:00:00,1.07422,1.07488,1.07361,1.07463,3516,0,0
2024-06-20 04:00:00,1.07463,1.0748199999999999,1.07391,1.07428,5860,0,0
2024-06-20 08:00:00,1.07428,1.07436,1.07127,1.07169,11768,0,0
2024-06-20 12:00:00,1.07169,1.07322,1.0713,1.07191,15358,0,0
2024-06-20 16:00:00,1.07193,1.07308,1.07035,1.0707200000000001,17334,0,0
2024-06-20 20:00:00,1.0707200000000001,1.07179,1.0702,1.07026,10618,0,0
2024-06-21 00:00:00,1.07016,1.07077,1.06993,1.07068,3976,0,0
2024-06-21 04:00:00,1.07068,1.07187,1.07052,1.07185,7105,0,0
2024-06-21 08:00:00,1.07185,1.07206,1.06711,1.06911,15898,0,0
2024-06-21 12:00:00,1.0691,1.06983,1.06767,1.06948,16501,0,0
2024-06-21 16:00:00,1.06948,1.06978,1.06781,1.06924,17309,0,0
2024-06-21 20:00:00,1.06924,1.06969,1.06908,1.0692,6601,0,0
2024-06-24 00:00:00,1.06827,1.06956,1.06806,1.06919,4421,0,0
2024-06-24 04:00:00,1.06919,1.06947,1.06839,1.06947,8890,0,0
2024-06-24 08:00:00,1.06947,1.0718,1.06947,1.07137,12798,0,0
2024-06-24 12:00:00,1.07135,1.07359,1.07132,1.07347,15313,0,0
2024-06-24 16:00:00,1.07347,1.07465,1.07235,1.07278,14959,0,0
2024-06-24 20:00:00,1.07278,1.07384,1.07221,1.07343,8017,0,0
2024-06-25 00:00:00,1.0729,1.07358,1.07284,1.07342,4508,0,0
2024-06-25 04:00:00,1.07342,1.074,1.07323,1.07396,7814,0,0
2024-06-25 08:00:00,1.07396,1.07443,1.0721,1.07343,13116,0,0
2024-06-25 12:00:00,1.07343,1.07353,1.07023,1.07051,13219,0,0
2024-06-25 16:00:00,1.07051,1.07132,1.06908,1.07047,14449,0,0
2024-06-25 20:00:00,1.07047,1.07176,1.07044,1.07141,6960,0,0
2024-06-26 00:00:00,1.0714,1.07152,1.07063,1.07114,4219,0,0
2024-06-26 04:00:00,1.07114,1.07181,1.07076,1.07106,7610,0,0
2024-06-26 08:00:00,1.07106,1.07114,1.06854,1.06949,12544,0,0
2024-06-26 12:00:00,1.06949,1.06996,1.06771,1.06773,14841,0,0
2024-06-26 16:00:00,1.06773,1.06959,1.06661,1.06822,19788,0,0
2024-06-26 20:00:00,1.06822,1.06909,1.06752,1.068,8569,0,0
2024-06-27 00:00:00,1.06804,1.06821,1.06772,1.06783,5098,0,0
2024-06-27 04:00:00,1.06783,1.06949,1.06779,1.06944,7795,0,0
