date,open,high,low,close,tick_volume,spread,real_volume
2021-03-10,1.38898,1.39377,1.38453,1.39349,109678,0,0
2021-03-11,1.39295,1.39954,1.39186,1.39923,102868,0,0
2021-03-12,1.39858,1.40048,1.38633,1.39186,104013,0,0
2021-03-15,1.39146,1.39496,1.38531,1.39028,97839,0,0
2021-03-16,1.38934,1.39063,1.38089,1.38933,91512,0,0
2021-03-17,1.38916,1.39712,1.38511,1.39632,94141,0,0
2021-03-18,1.39655,1.40016,1.38975,1.39282,113882,0,0
2021-03-19,1.39197,1.39594,1.38306,1.38652,93154,0,0
2021-03-22,1.38347,1.38766,1.38176,1.38638,68628,0,0
2021-03-23,1.38623,1.38643,1.37405,1.37532,86566,0,0
2021-03-24,1.37492,1.37573,1.36738,1.36814,79666,0,0
2021-03-25,1.36815,1.37453,1.36703,1.37322,84128,0,0
2021-03-26,1.37338,1.38122,1.37239,1.37894,67901,0,0
2021-03-29,1.37901,1.3847,1.37559,1.37611,76513,0,0
2021-03-30,1.37587,1.37836,1.37062,1.37404,71839,0,0
2021-03-31,1.3738,1.3812,1.37163,1.3783,76790,0,0
2021-04-01,1.37768,1.38369,1.37462,1.38335,83599,0,0
2021-04-02,1.38304,1.38525,1.38099,1.38255,70295,0,0
2021-04-05,1.38206,1.39138,1.38132,1.39045,45777,0,0
2021-04-06,1.39,1.39188,1.38021,1.38243,68591,0,0
2021-04-07,1.38212,1.38402,1.37246,1.37382,86073,0,0
2021-04-08,1.37361,1.37828,1.37187,1.37348,69745,0,0
2021-04-09,1.37325,1.37508,1.36701,1.37042,68981,0,0
2021-04-12,1.37058,1.37768,1.36688,1.3744,63572,0,0
2021-04-13,1.3732,1.37687,1.3694,1.37506,74768,0,0
2021-04-14,1.37497,1.38086,1.37445,1.37758,69235,0,0
2021-04-15,1.37741,1.3809,1.37614,1.37794,72409,0,0
2021-04-16,1.3781,1.3841,1.37158,1.38404,73068,0,0
2021-04-19,1.38272,1.39928,1.38098,1.39855,62873,0,0
2021-04-20,1.39816,1.40093,1.39264,1.39374,49827,0,0
2021-04-21,1.39354,1.39499,1.38857,1.39285,46133,0,0
2021-04-22,1.39267,1.39498,1.38237,1.38399,51103,0,0
2021-04-23,1.38318,1.38957,1.38318,1.38779,45701,0,0
2021-04-26,1.38691,1.3929,1.38608,1.39012,45893,0,0
2021-04-27,1.38894,1.39237,1.38583,1.3908,42158,0,0
2021-04-28,1.39088,1.39504,1.3861,1.39419,50976,0,0
2021-04-29,1.39285,1.39761,1.39285,1.39396,54520,0,0
2021-04-30,1.39382,1.39581,1.38024,1.381,52730,0,0
2021-05-03,1.38149,1.39318,1.38012,1.39085,43048,0,0
2021-05-04,1.39069,1.39136,1.38385,1.38858,55919,0,0
2021-05-05,1.3882,1.39263,1.38763,1.39067,43598,0,0
2021-05-06,1.38982,1.39411,1.38575,1.38923,48249,0,0
2021-05-07,1.3883,1.40058,1.3883,1.39891,52144,0,0
2021-05-10,1.40048,1.41581,1.39928,1.4116,53997,0,0
2021-05-11,1.41168,1.41663,1.41039,1.41396,55795,0,0
2021-05-12,1.41362,1.4153,1.40501,1.40539,57573,0,0
2021-05-13,1.40504,1.40778,1.40054,1.40488,62968,0,0
